user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SRR5665213rbin.30	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003133345.1, s__Pseudolabrys sp003133345, 95.0, 84.44, 0.64; GCA_003152455.1, s__Pseudolabrys sp003152455, 95.0, 83.98, 0.71; GCA_016185205.1, s__Pseudolabrys sp016185205, 95.0, 82.93, 0.71; GCA_009694265.1, s__Pseudolabrys sp009694265, 95.0, 82.58, 0.71; GCA_016201085.1, s__Pseudolabrys sp016201085, 95.0, 82.31, 0.56; GCA_903878085.1, s__Pseudolabrys sp903878085, 95.0, 81.81, 0.74; GCA_903885555.1, s__Pseudolabrys sp903885555, 95.0, 80.6, 0.63; GCA_903839845.1, s__Pseudolabrys sp903839845, 95.0, 80.6, 0.61; GCA_001464835.1, s__Pseudolabrys sp001464835, 95.0, 80.28, 0.58; GCA_903929045.1, s__Pseudolabrys sp903929045, 95.0, 79.94, 0.59; GCA_018240595.1, s__Pseudolabrys sp018240595, 95.0, 79.92, 0.58; GCA_903892675.1, s__Pseudolabrys sp903892675, 95.0, 79.91, 0.5; GCA_017849615.1, s__Pseudolabrys sp017849615, 95.0, 79.78, 0.56; GCA_903891395.1, s__Pseudolabrys sp903891395, 95.0, 79.74, 0.51; GCA_018242205.1, s__Pseudolabrys sp018242205, 95.0, 79.7, 0.55; GCF_003367395.1, s__Pseudolabrys taiwanensis, 95.0, 79.64, 0.62; GCA_016124795.1, s__Pseudolabrys sp016124795, 95.0, 79.59, 0.58; GCF_005153485.1, s__Pseudolabrys sp005153485, 95.0, 79.55, 0.55; GCF_001426945.1, s__Pseudolabrys sp001426945, 95.0, 79.49, 0.55; GCF_003367195.1, s__Pseudolabrys sp003367195, 95.0, 79.45, 0.52; GCA_001899285.1, s__Pseudolabrys sp001899285, 95.0, 79.07, 0.49; GCA_019246455.1, s__Pseudolabrys sp019246455, 95.0, 78.63, 0.42; GCA_019247925.1, s__Pseudolabrys sp019247925, 95.0, 78.58, 0.45	85.41	11	0.9841509797538173	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5665213rbin.34	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	N/A	N/A	N/A	N/A	N/A	GCA_003133425.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003133425	94.0	0.7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003142935.1, s__Terracidiphilus sp003142935, 95.0, 80.62, 0.4; GCA_017883405.1, s__Terracidiphilus sp017883405, 95.0, 79.53, 0.27; GCA_003170825.1, s__Terracidiphilus sp003170825, 95.0, 79.14, 0.35; GCA_903828675.1, s__Terracidiphilus sp903828675, 95.0, 78.9, 0.33; GCA_003151435.1, s__Terracidiphilus sp003151435, 95.0, 78.46, 0.23; GCA_003138365.1, s__Terracidiphilus sp003138365, 95.0, 78.44, 0.29; GCA_003139795.1, s__Terracidiphilus sp003139795, 95.0, 78.36, 0.29; GCA_015655365.1, s__Terracidiphilus sp015655365, 95.0, 78.25, 0.33; GCA_003142015.1, s__Terracidiphilus sp003142015, 95.0, 78.22, 0.3; GCA_903849645.1, s__Terracidiphilus sp903849645, 95.0, 78.15, 0.24; GCA_003134855.1, s__Terracidiphilus sp003134855, 95.0, 78.05, 0.29; GCA_003167305.1, s__Terracidiphilus sp003167305, 95.0, 77.99, 0.34; GCA_003159355.1, s__Terracidiphilus sp003159355, 95.0, 77.98, 0.27; GCA_003165075.1, s__Terracidiphilus sp003165075, 95.0, 77.96, 0.22; GCA_903911925.1, s__Terracidiphilus sp903911925, 95.0, 77.9, 0.21; GCA_003140705.1, s__Terracidiphilus sp003140705, 95.0, 77.86, 0.15; GCA_003161045.1, s__Terracidiphilus sp003161045, 95.0, 77.79, 0.32; GCA_003165095.1, s__Terracidiphilus sp003165095, 95.0, 77.78, 0.24; GCA_003162495.1, s__Terracidiphilus sp003162495, 95.0, 77.76, 0.29; GCA_002314435.1, s__Terracidiphilus sp002314435, 95.0, 77.68, 0.21; GCA_003166055.1, s__Terracidiphilus sp003166055, 95.0, 77.65, 0.16; GCA_003140785.1, s__Terracidiphilus sp003140785, 95.0, 77.65, 0.14; GCA_015654835.1, s__Terracidiphilus sp015654835, 95.0, 77.64, 0.17; GCA_003134815.1, s__Terracidiphilus sp003134815, 95.0, 77.6, 0.18; GCA_003138515.1, s__Terracidiphilus sp003138515, 95.0, 77.57, 0.23; GCA_003171315.1, s__Terracidiphilus sp003171315, 95.0, 77.56, 0.27; GCF_900290245.1, s__Terracidiphilus gaucii, 95.0, 77.5, 0.17; GCA_008682415.1, s__Terracidiphilus sp008682415, 95.0, 77.49, 0.14; GCA_903842065.1, s__Terracidiphilus sp903842065, 95.0, 77.46, 0.15; GCA_003156235.1, s__Terracidiphilus sp003156235, 95.0, 77.33, 0.19; GCA_015655195.1, s__Terracidiphilus sp015655195, 95.0, 77.32, 0.15; GCA_000620725.1, s__Terracidiphilus sp000620725, 95.0, 77.31, 0.14; GCA_003151985.1, s__Terracidiphilus sp003151985, 95.0, 77.29, 0.2; GCF_003131205.1, s__Terracidiphilus savannae, 95.0, 77.25, 0.12; GCF_001449115.1, s__Terracidiphilus gabretensis, 95.0, 77.2, 0.11; GCA_002307235.1, s__Terracidiphilus sp002307235, 95.0, 77.15, 0.19; GCA_018268915.1, s__Terracidiphilus sp018268915, 95.0, 77.08, 0.11; GCA_003165935.1, s__Terracidiphilus sp003165935, 95.0, 76.96, 0.14; GCA_003165005.1, s__Terracidiphilus sp003165005, 95.0, 76.86, 0.19; GCA_003164635.1, s__Terracidiphilus sp003164635, 95.0, 76.74, 0.12; GCA_003156495.1, s__Terracidiphilus sp003156495, 95.0, 76.52, 0.14	75.08	11	0.9937709438352149	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5665213rbin.38	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__Palsa-872;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__Palsa-872;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003139695.1, s__Palsa-872 sp003139695, 95.0, 81.92, 0.54; GCA_003151665.1, s__Palsa-872 sp003151665, 95.0, 81.64, 0.48; GCA_005880945.1, s__Palsa-872 sp005880945, 95.0, 80.54, 0.45	64.02	11	0.9571361675949196	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5665647rbin.11	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	N/A	N/A	N/A	N/A	N/A	GCA_017881685.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp017881685	81.98	0.67	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003134685.1, s__UBA4720 sp003134685, 95.0, 77.95, 0.13; GCA_017881545.1, s__UBA4720 sp017881545, 95.0, 77.63, 0.11; GCA_017881465.1, s__UBA4720 sp017881465, 95.0, 77.43, 0.14; GCA_013813715.1, s__UBA4720 sp013813715, 95.0, 77.31, 0.21; GCA_013816855.1, s__UBA4720 sp013816855, 95.0, 77.08, 0.14; GCA_013813605.1, s__UBA4720 sp013813605, 95.0, 76.84, 0.1; GCA_003131365.1, s__UBA4720 sp003131365, 95.0, 76.67, 0.11; GCA_003221805.1, s__UBA4720 sp003221805, 95.0, 76.65, 0.11; GCA_003223425.1, s__UBA4720 sp003223425, 95.0, 76.47, 0.09; GCA_002404375.1, s__UBA4720 sp002404375, 95.0, 76.19, 0.1; GCA_902812375.1, s__UBA4720 sp902812375, 95.0, 76.04, 0.08; GCA_013816695.1, s__UBA4720 sp013816695, 95.0, 75.89, 0.06	46.66	11	0.9666656956085526	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5665647rbin.14	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	39.63	11	0.5770562401179613	N/A
SRR5665647rbin.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_019163375.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter sp019163375	87.68	0.74	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000183135.1, s__Paludibacter propionicigenes, 95.0, 78.35, 0.25; GCA_015654525.1, s__Paludibacter sp015654525, 95.0, 78.07, 0.23; GCA_010365115.1, s__Paludibacter sp010365115, 95.0, 77.89, 0.17; GCA_903911085.1, s__Paludibacter sp903911085, 95.0, 77.81, 0.22; GCA_017882285.1, s__Paludibacter sp017882285, 95.0, 77.56, 0.24; GCA_013426815.1, s__Paludibacter sp013426815, 95.0, 77.51, 0.2; GCA_903901975.1, s__Paludibacter sp903901975, 95.0, 77.46, 0.19; GCA_002427885.1, s__Paludibacter sp002427885, 95.0, 77.43, 0.19; GCA_017989795.1, s__Paludibacter sp017989795, 95.0, 77.43, 0.08; GCA_903929065.1, s__Paludibacter sp903929065, 95.0, 77.34, 0.15; GCA_003250325.1, s__Paludibacter sp003250325, 95.0, 77.17, 0.12; GCA_903830915.1, s__Paludibacter sp903830915, 95.0, 77.11, 0.15; GCA_903912795.1, s__Paludibacter sp903912795, 95.0, 76.87, 0.12; GCA_903873355.1, s__Paludibacter sp903873355, 95.0, 76.82, 0.11; GCA_018054805.1, s__Paludibacter sp018054805, 95.0, 76.65, 0.07; GCA_903927945.1, s__Paludibacter sp903927945, 95.0, 76.61, 0.15; GCA_903899865.1, s__Paludibacter sp903899865, 95.0, 76.6, 0.07; GCA_001873635.1, s__Paludibacter sp001873635, 95.0, 76.45, 0.08; GCA_016937795.1, s__Paludibacter sp016937795, 95.0, 76.43, 0.09; GCA_002427615.1, s__Paludibacter sp002427615, 95.0, 76.34, 0.13; GCA_009929375.1, s__Paludibacter sp009929375, 95.0, 76.33, 0.12; GCA_001898935.1, s__Paludibacter sp001898935, 95.0, 76.03, 0.05; GCA_017860345.1, s__Paludibacter sp017860345, 95.0, 75.99, 0.08; GCA_012519425.1, s__Paludibacter sp012519425, 95.0, 75.77, 0.02; GCA_002070265.1, s__Paludibacter sp002070265, 95.0, 75.49, 0.03	43.84	11	0.994108086303414	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5665647rbin.7	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonas_B;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonas_B;s__	ANI	classification based on placement in class-level tree	GCA_012729495.1, s__Syntrophomonas_B sp012729495, 95.0, 78.0, 0.42; GCA_017861475.1, s__Syntrophomonas_B sp017861475, 95.0, 77.5, 0.28; GCF_000983115.1, s__Syntrophomonas_B zehnderi, 95.0, 76.64, 0.2	51.93	11	0.9228060936029256	N/A
SRR5665647rbin.8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_002404115.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium;s__Cryobacterium sp002404115	87.63	0.5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900101115.1, s__Cryobacterium psychrotolerans, 95.0, 84.22, 0.75; GCF_004402215.1, s__Cryobacterium sp004402215, 95.0, 84.09, 0.78; GCF_015752155.1, s__Cryobacterium sp015752155, 95.0, 82.3, 0.73; GCF_004402595.1, s__Cryobacterium sp004402595, 95.0, 82.16, 0.71; GCF_004402495.1, s__Cryobacterium sp004402495, 95.0, 82.05, 0.73; GCF_004403515.1, s__Cryobacterium sp004403515, 95.0, 81.9, 0.71; GCF_004403395.1, s__Cryobacterium sp004403395, 95.0, 81.76, 0.65; GCF_004403065.1, s__Cryobacterium sp004403065, 95.0, 81.67, 0.66; GCF_001679725.1, s__Cryobacterium arcticum_A, 95.0, 81.6, 0.61; GCA_014376815.1, s__Cryobacterium sp014376815, 95.0, 81.6, 0.64; GCF_004402785.1, s__Cryobacterium sp004402785, 95.0, 81.54, 0.7; GCF_004403465.1, s__Cryobacterium sp004403465, 95.0, 81.44, 0.65; GCF_003611035.1, s__Cryobacterium soli, 95.0, 81.41, 0.63; GCF_002929845.1, s__Cryobacterium sp002929845, 95.0, 81.32, 0.64; GCF_002929555.1, s__Cryobacterium sp002929555, 95.0, 81.26, 0.64; GCF_004403945.1, s__Cryobacterium sp004403945, 95.0, 81.25, 0.64; GCF_004210215.1, s__Cryobacterium sp004210215, 95.0, 81.22, 0.6; GCF_004402695.1, s__Cryobacterium sp004402695, 95.0, 81.17, 0.6; GCF_003185895.1, s__Cryobacterium arcticum, 95.0, 81.15, 0.61; GCF_004402485.1, s__Cryobacterium sp004402485, 95.0, 81.01, 0.65; GCF_002909375.1, s__Cryobacterium zongtaii, 95.0, 80.99, 0.62; GCF_004402235.1, s__Cryobacterium sp004402235, 95.0, 80.97, 0.66; GCF_004402375.1, s__Cryobacterium breve, 95.0, 80.74, 0.65; GCF_003602235.1, s__Cryobacterium sp003602235, 95.0, 80.27, 0.63; GCF_004402535.1, s__Cryobacterium sp004402535, 95.0, 80.18, 0.59; GCF_004403305.1, s__Cryobacterium sp004403305, 95.0, 80.05, 0.58; GCF_900103805.1, s__Cryobacterium flavum, 95.0, 80.01, 0.56; GCF_004402405.1, s__Cryobacterium levicorallinum, 95.0, 80.0, 0.54; GCF_002954245.1, s__Cryobacterium aureum, 95.0, 79.98, 0.55; GCF_900110125.1, s__Cryobacterium luteum, 95.0, 79.82, 0.57; GCF_015751745.1, s__Cryobacterium sp015751745, 95.0, 79.69, 0.53; GCF_004404055.1, s__Cryobacterium ruanii, 95.0, 79.68, 0.54; GCF_014200405.1, s__Cryobacterium roopkundense, 95.0, 79.65, 0.55; GCF_004403985.1, s__Cryobacterium sp004403985, 95.0, 79.5, 0.51; GCF_004403185.1, s__Cryobacterium sp004403185, 95.0, 79.4, 0.52; GCF_002929805.1, s__Cryobacterium sp002929805, 95.0, 79.37, 0.51; GCF_002929825.1, s__Cryobacterium sp002929825, 95.0, 79.35, 0.51; GCF_002929505.1, s__Cryobacterium sp002929505, 95.0, 79.33, 0.49; GCF_004365915.1, s__Cryobacterium psychrophilum, 95.0, 79.32, 0.53; GCF_002929535.1, s__Cryobacterium sp002929535, 95.0, 79.26, 0.53; GCF_000738085.1, s__Cryobacterium sp000738085, 95.0, 79.26, 0.52; GCF_002929495.1, s__Cryobacterium sp002929495, 95.0, 79.23, 0.51	50.62	11	0.9753560202326615	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5665648rbin.10	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__CAIXSE01;s__	N/A	N/A	N/A	N/A	N/A	GCA_017882325.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__CAIXSE01;s__CAIXSE01 sp017882325	89.46	0.68	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__CAIXSE01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_903862845.1, s__CAIXSE01 sp903862845, 95.0, 88.45, 0.73; GCA_903912585.1, s__CAIXSE01 sp903912585, 95.0, 82.63, 0.47; GCA_903927755.1, s__CAIXSE01 sp903927755, 95.0, 81.87, 0.6; GCA_903921965.1, s__CAIXSE01 sp903921965, 95.0, 81.18, 0.43; GCA_012514235.1, s__CAIXSE01 sp012514235, 95.0, 81.16, 0.53; GCA_012719015.1, s__CAIXSE01 sp012719015, 95.0, 80.93, 0.5	77.66	11	0.9718961556354438	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5665648rbin.2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000526515.1, s__Actinotalea sp000526515, 95.0, 80.47, 0.64; GCA_000767215.1, s__Actinotalea fermentans, 95.0, 80.37, 0.54; GCF_000767165.1, s__Actinotalea bogoriensis, 95.0, 79.75, 0.42; GCF_008364845.1, s__Actinotalea sp008364845, 95.0, 79.57, 0.53; GCA_012514545.1, s__Actinotalea sp012514545, 95.0, 79.55, 0.48; GCF_014042015.1, s__Actinotalea sp014042015, 95.0, 79.48, 0.53; GCF_009996735.1, s__Actinotalea sp009996735, 95.0, 79.36, 0.55; GCF_000603945.1, s__Actinotalea ferrariae, 95.0, 79.31, 0.46; GCA_014360395.1, s__Actinotalea sp014360395, 95.0, 79.24, 0.39; GCF_017565425.1, s__Actinotalea sp017565425, 95.0, 78.98, 0.53; GCF_016464425.1, s__Actinotalea solisilvae, 95.0, 78.97, 0.6; GCF_014636275.1, s__Actinotalea carbonis, 95.0, 78.94, 0.49	58.12	11	0.8986877939976949	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5674476rbin.2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	62.45	11	0.8458146357112406	N/A
SRR5674476rbin.8	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__	N/A	N/A	N/A	N/A	N/A	GCA_017882025.1	95.0	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__CTSoil-043 sp017882025	93.25	0.78	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017881985.1, s__CTSoil-043 sp017881985, 95.0, 83.91, 0.91; GCA_017860675.1, s__CTSoil-043 sp017860675, 95.0, 77.84, 0.32	34.39	11	0.9898830370063267	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5680860rbin.7	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003132105.1, s__Desulfosporosinus sp003132105, 95.0, 84.0, 0.6; GCA_001516045.1, s__Desulfosporosinus sp001516045, 95.0, 82.18, 0.48; GCA_000770645.1, s__Desulfosporosinus sp000770645, 95.0, 82.0, 0.47; GCF_004766045.1, s__Desulfosporosinus fructosivorans, 95.0, 81.5, 0.54; GCA_002413075.1, s__Desulfosporosinus sp002413075, 95.0, 80.97, 0.52; GCF_001936615.1, s__Desulfosporosinus sp001936615, 95.0, 79.52, 0.37; GCF_000960765.1, s__Desulfosporosinus sp000960765, 95.0, 79.49, 0.31; GCA_002404215.1, s__Desulfosporosinus sp002404215, 95.0, 79.36, 0.43; GCA_000961805.1, s__Desulfosporosinus sp000961805, 95.0, 79.24, 0.35; GCF_000224515.1, s__Desulfosporosinus sp000224515, 95.0, 79.0, 0.34; GCF_001707885.1, s__Desulfosporosinus sp001707885, 95.0, 78.85, 0.33; GCF_004766055.1, s__Desulfosporosinus sp004766055, 95.0, 78.77, 0.31; GCF_900129935.1, s__Desulfosporosinus lacus, 95.0, 78.35, 0.29; GCA_016278585.1, s__Desulfosporosinus sp016278585, 95.0, 78.12, 0.27; GCA_003513495.1, s__Desulfosporosinus sp003513495, 95.0, 78.03, 0.19; GCF_000244895.1, s__Desulfosporosinus youngiae, 95.0, 78.01, 0.2; GCF_000231385.2, s__Desulfosporosinus meridiei, 95.0, 77.55, 0.15; GCF_000765145.1, s__Desulfosporosinus sp000765145, 95.0, 77.52, 0.16; GCF_002196705.1, s__Desulfosporosinus sp002196705, 95.0, 77.51, 0.1; GCF_000235605.1, s__Desulfosporosinus orientis, 95.0, 77.48, 0.14; GCF_900100785.1, s__Desulfosporosinus hippei, 95.0, 77.37, 0.16; GCF_000255115.2, s__Desulfosporosinus acidiphilus, 95.0, 77.25, 0.12; GCF_001029285.1, s__Desulfosporosinus acididurans, 95.0, 77.1, 0.1	93.75	11	0.9625949055078237	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5680860rbin.8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__UBA4719;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003132125.1, s__UBA4719 sp003132125, 95.0, 91.29, 0.56; GCA_012927555.1, s__UBA4719 sp012927555, 95.0, 90.82, 0.69; GCA_002404345.1, s__UBA4719 sp002404345, 95.0, 82.6, 0.55; GCA_014377705.1, s__UBA4719 sp014377705, 95.0, 81.5, 0.54; GCA_003157445.1, s__UBA4719 sp003157445, 95.0, 79.77, 0.33	84.93	11	0.9813432533235555	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR5712664rbin.3	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	80.54	11	0.9225391824278608	N/A
SRR5712671rbin.6	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	52.52	11	0.8954726922634627	N/A
